Local time,Ask,Bid,AskVolume,BidVolume
06.06.2022 03:30:00.708 GMT+0200,11.943,11.927000000000001,0.018,0.018
06.06.2022 03:30:01.736 GMT+0200,11.963,11.917,0.018,0.018
06.06.2022 03:30:02.716 GMT+0200,11.953,11.927000000000001,0.018,0.018
06.06.2022 03:30:03.719 GMT+0200,11.963,11.917,0.018,0.018
06.06.2022 03:30:04.711 GMT+0200,11.953,11.917,0.018,0.018
06.06.2022 03:30:06.487 GMT+0200,11.944,11.926,0.018,0.018
06.06.2022 03:30:07.481 GMT+0200,11.943,11.897,0.018,0.018
06.06.2022 03:30:11.901 GMT+0200,11.923,11.897,0.018,0.018
06.06.2022 03:30:12.899 GMT+0200,11.944,11.895999999999999,0.018,0.018
06.06.2022 03:30:15.263 GMT+0200,11.914000000000001,11.895999999999999,0.018,0.018
06.06.2022 03:30:15.314 GMT+0200,11.904000000000002,11.876,0.018,0.018
06.06.2022 03:30:17.255 GMT+0200,11.863,11.837000000000002,0.018,0.018
06.06.2022 03:30:18.009 GMT+0200,11.864,11.846,0.018,0.018
06.06.2022 03:30:19.009 GMT+0200,11.863,11.817,0.018,0.018
06.06.2022 03:30:21.017 GMT+0200,11.843,11.807,0.018,0.018
06.06.2022 03:30:24.163 GMT+0200,11.844000000000001,11.796,0.018,0.018
06.06.2022 03:30:27.176 GMT+0200,11.823,11.777000000000001,0.018,0.018
06.06.2022 03:30:27.864 GMT+0200,11.784,11.755999999999998,0.018,0.018
06.06.2022 03:30:28.871 GMT+0200,11.802999999999999,11.757000000000001,0.018,0.018
06.06.2022 03:30:34.240 GMT+0200,11.802999999999999,11.787,0.018,0.018
06.06.2022 03:30:35.239 GMT+0200,11.804,11.776,0.018,0.018
06.06.2022 03:30:36.241 GMT+0200,11.802999999999999,11.767000000000001,0.018,0.018
06.06.2022 03:30:36.292 GMT+0200,11.794,11.776,0.018,0.018
06.06.2022 03:30:37.260 GMT+0200,11.804,11.776,0.018,0.018
06.06.2022 03:30:39.259 GMT+0200,11.813,11.777000000000001,0.018,0.018
06.06.2022 03:30:40.786 GMT+0200,11.813,11.797,0.018,0.018
06.06.2022 03:30:41.799 GMT+0200,11.813,11.777000000000001,0.018,0.018
06.06.2022 03:30:46.431 GMT+0200,11.802999999999999,11.787,0.018,0.018
06.06.2022 03:30:47.451 GMT+0200,11.824000000000002,11.776,0.018,0.018
06.06.2022 03:30:48.101 GMT+0200,11.784,11.766,0.018,0.018
06.06.2022 03:30:48.283 GMT+0200,11.813,11.797,0.018,0.018
06.06.2022 03:30:48.597 GMT+0200,11.784,11.766,0.018,0.018
06.06.2022 03:30:48.647 GMT+0200,11.813,11.777000000000001,0.018,0.018
06.06.2022 03:30:50.695 GMT+0200,11.814000000000002,11.796,0.018,0.018
06.06.2022 03:30:51.690 GMT+0200,11.813,11.777000000000001,0.018,0.018
06.06.2022 03:30:52.879 GMT+0200,11.794,11.776,0.018,0.018
06.06.2022 03:30:53.880 GMT+0200,11.802999999999999,11.777000000000001,0.018,0.018
06.06.2022 03:30:56.884 GMT+0200,11.794,11.776,0.018,0.018
06.06.2022 03:30:59.888 GMT+0200,11.804,11.776,0.018,0.018
06.06.2022 03:31:00.889 GMT+0200,11.802999999999999,11.757000000000001,0.018,0.018
06.06.2022 03:31:01.890 GMT+0200,11.793,11.767000000000001,0.018,0.018
06.06.2022 03:31:04.294 GMT+0200,11.804,11.755999999999998,0.018,0.018
06.06.2022 03:31:05.253 GMT+0200,11.794,11.776,0.018,0.018
06.06.2022 03:31:06.263 GMT+0200,11.802999999999999,11.757000000000001,0.018,0.018
06.06.2022 03:31:11.258 GMT+0200,11.793,11.777000000000001,0.018,0.018
06.06.2022 03:31:13.258 GMT+0200,11.804,11.755999999999998,0.018,0.018
06.06.2022 03:31:15.417 GMT+0200,11.793,11.767000000000001,0.018,0.018
06.06.2022 03:31:17.701 GMT+0200,11.802999999999999,11.757000000000001,0.018,0.018
06.06.2022 03:31:19.122 GMT+0200,11.783,11.767000000000001,0.018,0.018
06.06.2022 03:31:19.813 GMT+0200,11.804,11.776,0.018,0.018
06.06.2022 03:31:20.813 GMT+0200,11.824000000000002,11.776,0.018,0.018
06.06.2022 03:31:26.419 GMT+0200,11.814000000000002,11.796,0.018,0.018
06.06.2022 03:31:33.422 GMT+0200,11.823,11.797,0.018,0.018
06.06.2022 03:31:40.633 GMT+0200,11.833,11.817,0.018,0.018
06.06.2022 03:31:42.635 GMT+0200,11.843,11.797,0.018,0.018
06.06.2022 03:31:43.607 GMT+0200,11.833,11.817,0.018,0.018
06.06.2022 03:31:45.692 GMT+0200,11.844000000000001,11.815999999999999,0.018,0.018
06.06.2022 03:31:58.057 GMT+0200,11.833,11.817,0.018,0.018
06.06.2022 03:31:59.059 GMT+0200,11.844000000000001,11.796,0.018,0.018
06.06.2022 03:31:59.568 GMT+0200,11.833,11.817,0.018,0.018
06.06.2022 03:32:01.568 GMT+0200,11.843,11.797,0.018,0.018
06.06.2022 03:32:04.752 GMT+0200,11.824000000000002,11.806,0.018,0.018
06.06.2022 03:32:05.740 GMT+0200,11.823,11.797,0.018,0.018
06.06.2022 03:32:06.463 GMT+0200,11.802999999999999,11.787,0.018,0.018
06.06.2022 03:32:07.461 GMT+0200,11.823,11.777000000000001,0.018,0.018
06.06.2022 03:32:07.953 GMT+0200,11.804,11.786,0.018,0.018
06.06.2022 03:32:10.097 GMT+0200,11.823,11.777000000000001,0.018,0.018
06.06.2022 03:32:10.657 GMT+0200,11.804,11.786,0.018,0.018
06.06.2022 03:32:11.691 GMT+0200,11.824000000000002,11.796,0.018,0.018
06.06.2022 03:32:12.689 GMT+0200,11.843,11.797,0.018,0.018
06.06.2022 03:32:16.692 GMT+0200,11.844000000000001,11.806,0.018,0.018
06.06.2022 03:32:17.765 GMT+0200,11.843,11.797,0.018,0.018
06.06.2022 03:32:19.766 GMT+0200,11.844000000000001,11.806,0.018,0.018
06.06.2022 03:32:20.767 GMT+0200,11.843,11.797,0.018,0.018
06.06.2022 03:32:24.033 GMT+0200,11.833,11.817,0.018,0.018
06.06.2022 03:32:40.983 GMT+0200,11.823,11.797,0.018,0.018
06.06.2022 03:33:06.789 GMT+0200,11.802999999999999,11.787,0.018,0.018
06.06.2022 03:33:07.790 GMT+0200,11.823,11.777000000000001,0.018,0.018
06.06.2022 03:33:07.840 GMT+0200,11.813,11.797,0.018,0.018
06.06.2022 03:33:09.708 GMT+0200,11.802999999999999,11.787,0.018,0.018
06.06.2022 03:33:11.732 GMT+0200,11.813,11.797,0.018,0.018
06.06.2022 03:33:12.622 GMT+0200,11.804,11.786,0.018,0.018
06.06.2022 03:33:14.760 GMT+0200,11.802999999999999,11.777000000000001,0.018,0.018
06.06.2022 03:33:22.488 GMT+0200,11.804,11.786,0.018,0.018
06.06.2022 03:33:23.922 GMT+0200,11.814000000000002,11.796,0.018,0.018
06.06.2022 03:33:30.329 GMT+0200,11.823,11.797,0.018,0.018
06.06.2022 03:33:34.473 GMT+0200,11.814000000000002,11.796,0.018,0.018
06.06.2022 03:33:36.186 GMT+0200,11.823,11.797,0.018,0.018
06.06.2022 03:33:38.186 GMT+0200,11.813,11.797,0.018,0.018
06.06.2022 03:33:39.350 GMT+0200,11.824000000000002,11.796,0.018,0.018
06.06.2022 03:33:42.353 GMT+0200,11.814000000000002,11.796,0.018,0.018
06.06.2022 03:33:44.353 GMT+0200,11.824000000000002,11.796,0.018,0.018
06.06.2022 03:34:41.055 GMT+0200,11.823,11.807,0.018,0.018
06.06.2022 03:34:50.781 GMT+0200,11.813,11.797,0.018,0.018
06.06.2022 03:34:55.125 GMT+0200,11.824000000000002,11.796,0.018,0.018
06.06.2022 03:34:57.126 GMT+0200,11.824000000000002,11.806,0.018,0.018
06.06.2022 03:35:05.062 GMT+0200,11.823,11.797,0.018,0.018
06.06.2022 03:35:06.063 GMT+0200,11.823,11.807,0.018,0.018
06.06.2022 03:35:12.031 GMT+0200,11.843,11.797,0.018,0.018
06.06.2022 03:35:12.535 GMT+0200,11.833,11.817,0.018,0.018
06.06.2022 03:35:13.542 GMT+0200,11.843,11.797,0.018,0.018
06.06.2022 03:35:14.528 GMT+0200,11.834000000000001,11.796,0.018,0.018
06.06.2022 03:35:25.980 GMT+0200,11.833,11.817,0.018,0.018
06.06.2022 03:35:32.710 GMT+0200,11.843,11.817,0.018,0.018
06.06.2022 03:35:33.719 GMT+0200,11.834000000000001,11.815999999999999,0.018,0.018
06.06.2022 03:35:49.655 GMT+0200,11.843,11.817,0.018,0.018
06.06.2022 03:35:51.658 GMT+0200,11.833,11.817,0.018,0.018
06.06.2022 03:35:56.044 GMT+0200,11.844000000000001,11.815999999999999,0.018,0.018
06.06.2022 03:35:57.047 GMT+0200,11.834000000000001,11.815999999999999,0.018,0.018
06.06.2022 03:35:58.046 GMT+0200,11.843,11.817,0.018,0.018
06.06.2022 03:36:24.625 GMT+0200,11.843,11.827,0.018,0.018
06.06.2022 03:36:25.642 GMT+0200,11.864,11.835999999999999,0.018,0.018
06.06.2022 03:36:40.387 GMT+0200,11.863,11.847000000000001,0.018,0.018
06.06.2022 03:36:42.520 GMT+0200,11.883,11.857000000000001,0.018,0.018
06.06.2022 03:36:54.824 GMT+0200,11.884,11.866,0.018,0.018
06.06.2022 03:36:56.965 GMT+0200,11.883,11.857000000000001,0.018,0.018
06.06.2022 03:36:58.088 GMT+0200,11.883,11.867,0.018,0.018
06.06.2022 03:36:58.955 GMT+0200,11.894000000000002,11.876,0.018,0.018
06.06.2022 03:36:59.958 GMT+0200,11.903,11.857000000000001,0.018,0.018
06.06.2022 03:37:02.861 GMT+0200,11.892999999999999,11.877,0.018,0.018
06.06.2022 03:37:03.861 GMT+0200,11.903,11.857000000000001,0.018,0.018
06.06.2022 03:37:08.807 GMT+0200,11.892999999999999,11.877,0.018,0.018
06.06.2022 03:37:09.804 GMT+0200,11.904000000000002,11.876,0.018,0.018
06.06.2022 03:37:15.811 GMT+0200,11.903,11.887,0.018,0.018
06.06.2022 03:37:16.866 GMT+0200,11.903,11.877,0.018,0.018
06.06.2022 03:37:26.316 GMT+0200,11.903,11.887,0.018,0.018
06.06.2022 03:37:29.761 GMT+0200,11.903,11.877,0.018,0.018
06.06.2022 03:37:36.507 GMT+0200,11.904000000000002,11.886,0.018,0.018
06.06.2022 03:37:38.615 GMT+0200,11.923,11.877,0.018,0.018
06.06.2022 03:37:42.658 GMT+0200,11.913,11.897,0.018,0.018
06.06.2022 03:37:43.658 GMT+0200,11.923,11.897,0.018,0.018
06.06.2022 03:37:46.660 GMT+0200,11.923,11.907,0.018,0.018
06.06.2022 03:37:47.415 GMT+0200,11.934000000000001,11.915999999999999,0.018,0.018
06.06.2022 03:37:48.422 GMT+0200,11.943,11.917,0.018,0.018
06.06.2022 03:38:00.712 GMT+0200,11.944,11.926,0.018,0.018
06.06.2022 03:38:02.097 GMT+0200,11.953,11.937000000000001,0.018,0.018
