Local time,Ask,Bid,AskVolume,BidVolume
06.06.2022 08:01:10.788 GMT+0200,8779.016,8772.016,0,0.0001
06.06.2022 08:01:11.262 GMT+0200,8777.626,8770.626,0,0.0001
06.06.2022 08:01:15.008 GMT+0200,8776.366,8769.366,0,0.0001
06.06.2022 08:01:15.452 GMT+0200,8776.066,8769.066,0,0.0001
06.06.2022 08:01:47.504 GMT+0200,8775.416,8768.416,0,0
06.06.2022 08:01:47.722 GMT+0200,8774.866,8767.866,0,0
06.06.2022 08:02:19.138 GMT+0200,8775.126,8768.126,0,0
06.06.2022 08:02:44.937 GMT+0200,8775.416,8768.416,0,0
06.06.2022 08:02:58.642 GMT+0200,8775.066,8768.066,0,0
06.06.2022 08:03:32.598 GMT+0200,8775.566,8768.566,0,0.0001
06.06.2022 08:03:53.082 GMT+0200,8774.866,8767.866,0,0.0001
06.06.2022 08:04:23.922 GMT+0200,8776.416,8769.416,0,0.0001
06.06.2022 08:04:25.363 GMT+0200,8778.626,8771.626,0,0.0001
06.06.2022 08:04:27.866 GMT+0200,8778.366,8771.366,0,0.0001
06.06.2022 08:04:30.286 GMT+0200,8777.966,8770.966,0,0.0001
06.06.2022 08:04:34.489 GMT+0200,8778.466,8771.466,0,0.0001
06.06.2022 08:04:48.430 GMT+0200,8778.066,8771.066,0,0.0001
06.06.2022 08:04:53.945 GMT+0200,8777.466,8770.466,0,0.0001
06.06.2022 08:04:56.303 GMT+0200,8777.016,8770.016,0,0.0001
06.06.2022 08:05:04.097 GMT+0200,8778.316,8771.316,0,0.0001
06.06.2022 08:05:06.414 GMT+0200,8778.966,8771.966,0,0
06.06.2022 08:05:11.330 GMT+0200,8779.566,8772.566,0,0.0001
06.06.2022 08:05:13.592 GMT+0200,8779.966,8772.966,0,0.0001
06.06.2022 08:05:15.304 GMT+0200,8780.866,8773.866,0,0.0001
06.06.2022 08:05:17.597 GMT+0200,8781.516,8774.516,0,0.0001
06.06.2022 08:05:20.417 GMT+0200,8782.316,8775.316,0,0
06.06.2022 08:05:21.432 GMT+0200,8782.626,8775.626,0,0
06.06.2022 08:05:21.745 GMT+0200,8783.126,8776.126,0,0
06.06.2022 08:05:22.577 GMT+0200,8782.966,8775.966,0,0.0001
06.06.2022 08:05:26.353 GMT+0200,8783.516,8776.516,0,0.0001
06.06.2022 08:05:26.565 GMT+0200,8780.066,8773.066,0,0
06.06.2022 08:05:26.733 GMT+0200,8782.366,8775.366,0,0
06.06.2022 08:05:26.840 GMT+0200,8781.916,8774.916,0,0
06.06.2022 08:05:29.461 GMT+0200,8781.416,8774.416,0,0
06.06.2022 08:05:30.055 GMT+0200,8780.566,8773.566,0,0
06.06.2022 08:05:40.140 GMT+0200,8780.126,8773.126,0.0001,0
06.06.2022 08:05:40.283 GMT+0200,8779.066,8772.066,0,0
06.06.2022 08:05:43.178 GMT+0200,8779.466,8772.466,0,0
06.06.2022 08:06:07.781 GMT+0200,8778.416,8771.416,0,0
06.06.2022 08:06:09.823 GMT+0200,8778.916,8771.916,0,0
06.06.2022 08:06:17.781 GMT+0200,8778.566,8771.566,0,0
06.06.2022 08:06:25.952 GMT+0200,8779.016,8772.016,0,0
06.06.2022 08:06:27.471 GMT+0200,8779.466,8772.466,0,0
06.06.2022 08:06:43.591 GMT+0200,8779.016,8772.016,0,0
06.06.2022 08:07:52.738 GMT+0200,8778.366,8771.366,0,0
06.06.2022 08:08:17.737 GMT+0200,8778.066,8771.066,0,0
06.06.2022 08:08:42.745 GMT+0200,8777.566,8770.566,0,0
06.06.2022 08:08:43.196 GMT+0200,8778.866,8771.866,0,0
